"REF_DATE","GEO","DGUID","Components of population growth","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","-939","","","","0"
"2020/2021","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","-5119","","","","0"
"2021/2022","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","-9807","","","","0"
"2022/2023","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","-6321","","","","0"
"2023/2024","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","-7954","","","","0"
"2024/2025","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","-5591","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","4422","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","5968","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","-2586","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","-5558","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","-15155","","","","0"
"2020/2021","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","-40871","","","","0"
"2021/2022","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","-43744","","","","0"
"2022/2023","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","-27852","","","","0"
"2023/2024","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","-31243","","","","0"
"2024/2025","All census metropolitan areas and census agglomerations, Canada","","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590629037","2.9.1.1","-32642","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590629379","2.10.1.1","33374","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590629379","2.10.1.1","101668","","","","0"
